name,path,slug,ev_ebitda,pe,pb,roce,roe,promoter_holding,sales_growth_3y,mkt_cap,cmp
SHAILY,/company/SHAILY/,SHAILY,51.36,,,,,,,15078.62,3278.30
ARVIND,/company/ARVIND/consolidated/,ARVIND,14.51,,,,,,,15042.49,552.95
SUDEEPPHRM,/company/SUDEEPPHRM/consolidated/,SUDEEPPHRM,57.48,,,,,,,15014.26,1329.30
CROMPTON,/company/CROMPTON/,CROMPTON,18.17,,,,,,,14964.58,232.40
CANHLIFE,/company/CANHLIFE/,CANHLIFE,102.29,,,,,,,14936.85,157.23
VOGL,/company/VOGL/consolidated/,VOGL,,,,,,,,14867.30,38.02
SKFINDUS,/company/SKFINDUS/,SKFINDUS,32.27,,,,,,,14843.75,3002.50
NATCOPHARM,/company/NATCOPHARM/consolidated/,NATCOPHARM,10.40,,,,,,,14841.94,828.65
CONCORDBIO,/company/CONCORDBIO/,CONCORDBIO,32.60,,,,,,,14825.16,1417.10
NIVABUPA,/company/NIVABUPA/,NIVABUPA,61.32,,,,,,,14814.21,80.11
MARKSANS,/company/MARKSANS/consolidated/,MARKSANS,17.35,,,,,,,14807.13,326.75
JBMA,/company/JBMA/consolidated/,JBMA,21.10,,,,,,,14795.08,625.60
KIRLOSBROS,/company/KIRLOSBROS/consolidated/,KIRLOSBROS,23.44,,,,,,,14785.94,1862.00
CCL,/company/CCL/consolidated/,CCL,20.44,,,,,,,14770.86,1106.20
TMB,/company/TMB/,TMB,14.60,,,,,,,14765.48,932.45
JUBLPHARMA,/company/JUBLPHARMA/consolidated/,JUBLPHARMA,13.22,,,,,,,14727.29,924.50
RAINBOW,/company/RAINBOW/consolidated/,RAINBOW,25.43,,,,,,,14698.72,1447.20
AVALON,/company/AVALON/consolidated/,AVALON,64.01,,,,,,,14675.87,2196.60
VGUARD,/company/VGUARD/consolidated/,VGUARD,23.65,,,,,,,14654.13,335.40
BIKAJI,/company/BIKAJI/,BIKAJI,31.80,,,,,,,14648.02,584.20
CIEINDIA,/company/CIEINDIA/consolidated/,CIEINDIA,9.40,,,,,,,14618.73,385.35
BALRAMCHIN,/company/BALRAMCHIN/consolidated/,BALRAMCHIN,22.24,,,,,,,14612.92,690.60
CARTRADE,/company/CARTRADE/consolidated/,CARTRADE,39.60,,,,,,,14554.58,3000.20
SPLPETRO,/company/SPLPETRO/,SPLPETRO,18.28,,,,,,,14498.93,771.05
INDGN,/company/INDGN/consolidated/,INDGN,19.89,,,,,,,14491.62,601.50
SIGMAADV,/company/SIGMAADV/consolidated/,SIGMAADV,62.45,,,,,,,14480.18,762.40
ATLANTAELE,/company/ATLANTAELE/consolidated/,ATLANTAELE,37.13,,,,,,,14469.64,1881.70
JSWDULUX,/company/JSWDULUX/consolidated/,JSWDULUX,23.52,,,,,,,14456.77,3174.50
APOLLO,/company/APOLLO/consolidated/,APOLLO,62.19,,,,,,,14451.50,388.90
MANYAVAR,/company/MANYAVAR/,MANYAVAR,20.22,,,,,,,14437.77,594.20
GRAPHITE,/company/GRAPHITE/consolidated/,GRAPHITE,34.64,,,,,,,14332.75,733.60
