nse_symbol,company_name,target_industry,screener_broad_sector,screener_sector,screener_industry,in_stockscans,in_screener
TATACHEM,Tata Chemicals,Chemicals - Inorganic - Caustic Soda/Soda Ash,Commodities,Chemicals,Commodity Chemicals,1,1
TATAELXSI,Tata Elxsi,,Information Technology,Information Technology,Computers - Software & Consulting,0,1
TATVA,Tatva Chintan,Speciality Chemicals,Commodities,Chemicals,Specialty Chemicals,1,1
TBOTEK,TBO Tek,E-Commerce - Platform - Utility,Consumer Discretionary,Consumer Services,"Tour, Travel Related Services",1,1
TBZ,T B Z,"Diamond, Gems & Jewellery",Consumer Discretionary,Consumer Durables,"Gems, Jewellery And Watches",1,1
TCI,Transport Corp.,Logistics,Services,Services,Logistics Solution Provider,1,1
TCIEXP,TCI Express,Logistics - Warehousing/Supply Chain,Services,Services,Logistics Solution Provider,1,1
TDPOWERSYS,TD Power Systems,Capital Goods - Gensets/Turbines,Industrials,Capital Goods,Heavy Electrical Equipment,1,1
TEAMLEASE,Team Lease Serv.,Services - Others,Services,Services,Diversified Commercial Services,1,1
TECHNOE,Techno Elec.Engg,Data Centre,Industrials,Construction,Civil Construction,1,1
TEGA,Tega Inds.,Capital Goods - Mining Equipement,Industrials,Capital Goods,Industrial Products,1,1
TEJASNET,Tejas Networks,Telecom Services,Telecommunication,Telecommunication,Telecom - Equipment & Accessories,1,1
TEMBO,Tembo Global,Trading,Industrials,Capital Goods,Iron & Steel Products,1,1
TENNIND,Tenneco Clean,Auto Ancillaries - Others,Consumer Discretionary,Automobile and Auto Components,Auto Components & Equipments,1,1
TEXRAIL,Texmaco Rail,Railways,Industrials,Capital Goods,Railway Wagons,1,1
TFCILTD,Tour. Fin. Corp.,Finance - PSU Lending,Financial Services,Financial Services,Financial Institution,1,1
THANGAMAYL,Thangamayil Jew.,"Diamond, Gems & Jewellery",Consumer Discretionary,Consumer Durables,"Gems, Jewellery And Watches",1,1
THELEELA,Leela Palaces Hotels,Hotels,Consumer Discretionary,Consumer Services,Hotels & Resorts,1,1
THEMISMED,Themis Medicare,Pharma - API,Healthcare,Healthcare,Pharmaceuticals,1,1
THOMASCOOK,Thomas Cook (I),E-Commerce - Platform - Travel,Consumer Discretionary,Consumer Services,"Tour, Travel Related Services",1,1
THYROCARE,Thyrocare Tech.,Diagnostics,Healthcare,Healthcare,Healthcare Service Provider,1,1
TI,Tilaknagar Inds.,Alcoholic Beverages,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Breweries & Distilleries,1,1
TIMETECHNO,Time Technoplast,Cylinder,Industrials,Capital Goods,Plastic Products - Industrial,1,1
TIMEX,Timex Group,Watches,Consumer Discretionary,Consumer Durables,"Gems, Jewellery And Watches",1,1
TINNARUBR,Tinna Rubber,Rubber Processing/Rubber Products,Industrials,Capital Goods,Rubber,1,1
TIPSMUSIC,Tips Music,Music Licensing,Consumer Discretionary,"Media, Entertainment & Publication",Media & Entertainment,1,1
TIRUMALCHM,Thirumalai Chem.,Speciality Chemicals,Commodities,Chemicals,Commodity Chemicals,1,1
TIRUPATIFL,Tirupati Forge,"Castings, Forgings & Fastners",Industrials,Capital Goods,Castings & Forgings,1,1
TITAGARH,Titagarh Rail,Railways,Industrials,Capital Goods,Railway Wagons,1,1
